AÑO;PERIODO;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO ENTIDAD;ENTIDAD;CODIGO LINEA;LINEA INTERVENCION;CODIGO SERVICIO;NOMBRE SERVICIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;COD_CENTRO;NOMBRE DE CENTRO DE ATENCIÓN;N° DE CASOS - MUJERES;N° CASOS FEMINICIDIO - 0_5 - MUJERES;N° CASOS FEMINICIDIO - 6_11 - MUJERES;N° CASOS FEMINICIDIO - 12_17 - MUJERES;N° CASOS FEMINICIDIO - 18_29 - MUJERES;N° CASOS FEMINICIDIO - 30_59 - MUJERES;N° CASOS FEMINICIDIO - 60_MÁS - MUJERES;N° CASOS - VINCULO RELACIONAL - PAREJA;N° CASO - VINCULO RELACIONAL - EX PAREJA;N° CASOS - VINCULO RELACIONAL - FAMILIAR;N° CASOS - VINCULO RELACIONAL - CONOCIDO;N° CASOS  - VINCULO RELACIONAL - DESCONOCIDO;N° CASOS - VINCULO RELACIONAL - OTROS
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;11;ICA;;;  ;;2;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;12;JUNIN;;;  ;;3;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;13;LA LIBERTAD;;;  ;;4;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;14;LAMBAYEQUE;;;  ;;4;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;15;LIMA DEPARTAMENTO;;;  ;;27;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;16;LORETO;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;17;MADRE DE DIOS;;;  ;;3;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;18;MOQUEGUA;;;  ;;0;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;19;PASCO;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;20;PIURA;;;  ;;2;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;21;PUNO;;;  ;;3;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;22;SAN MARTIN;;;  ;;1;;;;;;;;;;;;
2012;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;23;TACNA;;;  ;;6;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;01;AMAZONAS;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;02;ANCASH;;;  ;;2;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;03;APURIMAC;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;04;AREQUIPA;;;  ;;4;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;05;AYACUCHO;;;  ;;6;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;06;CAJAMARCA;;;  ;;4;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;07;CALLAO;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;08;CUSCO;;;  ;;6;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;09;HUANCAVELICA;;;  ;;2;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;10;HUANUCO;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;11;ICA;;;  ;;4;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;12;JUNIN;;;  ;;2;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;13;LA LIBERTAD;;;  ;;1;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;14;LAMBAYEQUE;;;  ;;3;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;15;LIMA DEPARTAMENTO;;;  ;;56;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;16;LORETO;;;  ;;2;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;17;MADRE DE DIOS;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;18;MOQUEGUA;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;19;PASCO;;;  ;;4;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;20;PIURA;;;  ;;5;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;21;PUNO;;;  ;;11;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;22;SAN MARTIN;;;  ;;0;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;23;TACNA;;;  ;;6;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;24;TUMBES;;;  ;;1;;;;;;;;;;;;
2013;ENE - DIC;5/1/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;25;UCAYALI;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;01;AMAZONAS;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;02;ANCASH;;;  ;;2;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;03;APURIMAC;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;04;AREQUIPA;;;  ;;10;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;05;AYACUCHO;;;  ;;4;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;06;CAJAMARCA;;;  ;;1;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;07;CALLAO;;;  ;;3;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;08;CUSCO;;;  ;;6;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;09;HUANCAVELICA;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;10;HUANUCO;;;  ;;2;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;11;ICA;;;  ;;1;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;12;JUNIN;;;  ;;4;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;13;LA LIBERTAD;;;  ;;5;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;14;LAMBAYEQUE;;;  ;;3;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;15;LIMA DEPARTAMENTO;;;  ;;41;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;16;LORETO;;;  ;;2;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;17;MADRE DE DIOS;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;18;MOQUEGUA;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;19;PASCO;;;  ;;1;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;20;PIURA;;;  ;;2;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;21;PUNO;;;  ;;7;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;22;SAN MARTIN;;;  ;;1;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;23;TACNA;;;  ;;1;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;24;TUMBES;;;  ;;0;;;;;;;;;;;;
2014;ENE - DIC;10/1/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER005;REGISTRO DE FEMINICIDIO;25;UCAYALI;;;  ;;0;;;;;;;;;;;;
