Sexo,Educacion,EstadoCivil,Edad,MontoCredito
2,1,1,32,50000
2,2,2,31,50000
1,1,2,29,230000
1,2,1,27,50000
2,1,2,28,100000
2,1,1,42,210000
2,2,1,32,230000
2,1,2,26,500000
2,1,2,38,370000
2,1,1,35,230000
1,2,2,29,80000
2,2,2,29,60000
2,2,2,51,30000
1,1,2,27,70000
1,1,2,32,410000
2,3,1,40,280000
2,1,1,34,50000
2,2,1,30,100000
2,1,2,29,230000
2,1,2,22,50000
2,1,2,48,100000
2,2,1,35,210000
1,1,2,37,400000
1,2,2,25,20000
2,3,1,44,50000
2,1,2,28,230000
1,2,2,29,220000
2,1,1,36,300000
2,2,2,23,80000
2,3,2,36,20000
2,1,2,26,190000
2,2,0,37,160000
2,1,3,44,120000
2,1,1,39,700000
2,1,2,24,140000
2,3,1,29,300000
1,3,1,33,120000
2,2,1,39,280000
1,3,1,51,70000
2,3,2,24,20000
2,2,1,45,150000
1,1,2,30,60000
2,3,0,51,200000
2,2,2,24,50000
1,2,1,50,150000
2,1,2,22,20000
1,1,2,27,40000
2,2,2,33,170000
2,2,1,24,50000
1,2,2,37,10000
2,2,1,58,200000
2,2,1,48,50000
1,1,2,28,320000
2,3,1,24,20000
2,2,1,27,470000
2,3,2,30,230000
2,1,2,23,20000
2,3,2,53,30000
2,2,2,23,80000
2,2,1,55,110000
1,2,1,34,420000
1,1,1,43,500000
2,2,2,22,80000
2,2,1,31,350000
2,2,1,32,30000
2,2,2,33,110000
1,3,1,39,500000
2,1,1,38,490000
2,2,1,34,300000
1,2,3,42,50000
1,3,1,37,150000
2,3,1,57,80000
2,2,2,23,40000
1,2,2,32,30000
1,1,1,37,50000
2,2,2,23,140000
2,3,2,49,50000
2,2,2,25,30000
2,1,2,29,40000
2,3,1,43,100000
1,2,2,29,130000
2,2,2,27,20000
1,1,2,26,50000
1,1,1,41,260000
2,3,2,52,30000
2,2,1,31,10000
1,1,2,32,200000
2,2,1,46,30000
2,2,2,35,180000
1,1,2,35,100000
2,2,1,39,140000
2,2,2,34,290000
2,2,3,52,20000
2,3,1,40,80000
2,3,1,38,500000
1,1,1,45,180000
2,3,1,40,20000
2,2,1,25,30000
1,1,2,33,150000
2,2,2,27,280000
2,2,1,43,50000
2,2,1,43,20000
1,1,2,30,200000
2,2,1,49,210000
2,1,2,38,230000
1,3,2,57,50000
1,3,2,55,50000
2,2,2,23,70000
1,1,2,30,310000
2,2,1,30,180000
2,2,2,24,90000
1,2,2,28,390000
2,3,1,34,150000
1,2,2,37,400000
2,2,1,32,80000
1,1,2,27,320000
2,2,1,37,240000
1,1,2,31,200000
1,1,3,55,110000
2,1,2,28,170000
2,3,3,51,90000
1,1,1,36,200000
1,1,2,30,360000
2,1,1,36,140000
1,2,2,25,220000
1,3,1,50,100000
2,2,2,40,80000
2,2,2,27,30000
1,1,2,30,50000
2,2,2,26,120000
1,1,2,27,50000
2,1,2,27,360000
2,1,2,25,90000
1,1,2,32,500000
2,3,1,46,140000
1,3,1,45,30000
1,3,1,30,70000
1,1,1,39,200000
1,1,1,48,350000
1,1,2,32,120000
1,1,2,46,240000
2,1,2,23,90000
2,1,2,33,260000
2,1,2,24,50000
1,1,1,40,110000
2,1,2,24,20000
2,2,2,24,30000
1,1,2,27,180000
1,2,1,46,20000
2,2,2,22,50000
2,1,2,36,180000
1,1,1,34,200000
2,2,2,24,260000
1,1,1,60,320000
2,2,2,29,160000
1,2,2,32,30000
2,2,1,36,50000
1,2,2,30,50000
2,2,2,29,90000
1,1,2,34,240000
2,2,1,32,180000
2,2,1,32,200000
2,1,2,25,50000
1,2,1,44,50000
2,1,1,37,330000
2,2,2,24,80000
2,2,2,23,50000
2,1,2,29,360000
2,2,1,37,240000
1,2,1,59,50000
1,2,2,33,470000
2,3,1,51,160000
1,1,1,27,30000
2,2,1,32,80000
2,3,2,42,500000
1,2,2,39,180000
2,2,1,46,110000
1,1,1,41,160000
2,2,2,30,210000
2,1,1,34,200000
1,1,2,35,350000
1,1,2,41,250000
1,1,2,43,380000
1,2,2,47,30000
1,2,2,31,200000
1,2,2,30,30000
1,2,2,24,50000
1,1,1,36,500000
1,1,2,28,30000
2,1,1,36,220000
2,2,1,27,20000
2,2,1,32,180000
1,1,1,42,300000
2,2,1,33,130000
2,3,1,39,180000
2,1,3,30,150000
1,2,1,30,140000
2,2,2,22,50000
1,2,2,25,20000
1,1,2,28,180000
1,2,2,26,180000
2,3,1,54,150000
2,1,2,24,70000
1,2,2,29,30000
1,1,2,36,500000
1,3,1,49,60000
2,1,2,23,50000
1,3,2,43,130000
2,2,1,33,260000
1,3,1,53,380000
2,2,2,25,360000
1,3,1,54,50000
2,3,1,39,50000
2,1,1,44,260000
2,2,2,27,80000
2,1,2,25,360000
2,1,2,29,290000
1,1,2,39,200000
1,1,1,45,140000
1,1,1,38,360000
2,2,2,23,50000
1,2,2,25,120000
1,2,1,29,100000
2,2,1,28,200000
2,2,1,40,90000
1,1,2,36,360000
2,3,2,30,150000
1,1,2,29,140000
2,2,2,36,200000
2,2,1,37,170000
1,2,2,34,30000
2,1,2,27,80000
1,1,2,31,280000
2,1,1,31,410000
1,1,2,38,450000
1,2,2,36,80000
1,1,1,46,360000
2,1,1,36,130000
2,1,2,26,160000
2,3,2,57,140000
2,3,1,40,240000
2,3,0,45,180000
1,1,3,57,70000
2,2,2,25,150000
2,3,1,37,210000
2,1,1,35,200000
1,2,2,33,310000
1,1,1,38,180000
1,2,2,31,300000
2,1,2,41,450000
1,1,2,33,200000
2,2,1,67,30000
2,1,1,40,400000
1,1,2,33,170000
2,1,2,31,140000
2,2,2,35,200000
2,2,3,39,60000
1,2,2,27,60000
1,1,2,23,150000
1,3,1,54,180000
2,3,2,23,50000
1,3,2,24,50000
1,2,2,26,20000
2,2,2,52,230000
2,2,1,42,110000
2,1,2,36,90000
2,1,2,22,20000
2,1,2,23,30000
1,3,1,30,220000
2,3,2,24,140000
2,1,1,42,300000
1,2,1,49,100000
1,2,2,31,110000
2,3,2,33,270000
1,1,1,42,30000
1,3,2,41,70000
1,2,1,53,230000
1,2,2,23,20000
2,1,2,33,190000
2,2,1,29,20000
2,3,1,67,80000
1,3,1,33,20000
2,3,1,34,60000
1,2,1,49,50000
2,2,1,56,280000
1,1,1,42,300000
2,3,1,55,30000
2,2,1,25,270000
1,3,2,30,100000
1,2,2,43,240000
1,1,2,40,200000
2,1,2,35,110000
1,1,1,61,230000
2,2,1,44,150000
1,1,2,33,350000
1,6,1,66,360000
2,2,2,40,150000
1,3,2,47,100000
1,1,2,27,500000
1,1,2,35,500000
2,3,1,47,180000
2,3,1,39,400000
2,2,2,29,100000
1,2,1,32,10000
2,1,2,30,60000
2,1,2,25,50000
2,2,2,23,80000
2,2,1,43,110000
2,2,1,41,410000
2,2,1,40,260000
2,3,1,35,30000
2,1,2,28,310000
2,2,2,38,70000
1,1,2,31,250000
1,3,1,29,210000
1,2,1,41,360000
1,2,2,31,50000
1,1,2,29,670000
1,1,2,26,130000
1,1,1,42,170000
1,3,2,29,30000
1,1,1,50,110000
2,3,2,46,210000
2,2,2,24,30000
2,2,1,46,260000
2,3,2,28,150000
2,2,1,35,20000
2,1,1,40,380000
2,1,1,41,200000
2,2,1,47,120000
1,2,1,54,80000
2,2,2,33,30000
1,2,2,29,110000
2,3,1,44,50000
2,2,1,24,90000
1,1,2,33,110000
1,3,1,54,50000
1,1,2,27,60000
2,2,2,37,150000
1,1,2,24,20000
2,3,1,54,140000
2,2,1,34,120000
2,2,2,40,200000
1,2,2,30,20000
1,2,2,26,50000
2,2,1,41,200000
2,2,2,29,100000
1,1,1,38,300000
2,1,2,35,500000
2,2,1,52,360000
2,1,2,29,160000
2,2,2,23,50000
2,2,1,34,230000
2,2,2,34,200000
1,1,1,44,270000
2,2,1,36,50000
1,2,2,28,20000
2,2,2,31,60000
1,2,2,31,50000
1,2,1,41,50000
2,3,1,44,130000
2,3,2,47,230000
1,2,2,25,20000
2,1,2,25,30000
2,1,1,39,200000
2,2,1,24,140000
2,2,1,35,100000
1,2,1,32,240000
2,1,2,31,70000
1,1,2,33,360000
2,1,2,30,140000
1,2,1,52,50000
2,2,1,36,210000
1,1,2,30,280000
2,2,2,42,180000
2,1,2,30,150000
1,3,1,47,20000
2,2,1,29,350000
2,1,2,23,130000
1,3,1,39,470000
2,2,1,48,340000
1,2,2,26,80000
1,1,2,33,70000
2,2,1,44,230000
2,2,1,36,180000
2,2,1,39,210000
1,2,2,24,20000
2,2,2,25,140000
1,1,2,52,200000
2,3,1,59,50000
2,1,2,23,80000
2,3,2,48,30000
2,1,2,28,140000
1,3,1,62,80000
2,3,1,38,220000
2,1,2,32,180000
2,2,1,29,140000
1,2,2,25,180000
2,2,2,35,50000
2,2,2,27,170000
1,2,2,38,50000
1,2,2,24,50000
1,2,1,29,300000
2,1,2,27,390000
2,2,1,55,90000
2,1,2,29,200000
1,1,2,29,460000
1,2,2,23,10000
1,2,1,30,20000
2,2,1,50,50000
2,2,1,38,480000
2,1,2,24,180000
2,1,2,29,240000
1,1,2,38,250000
2,2,2,34,270000
1,1,1,37,200000
2,3,1,66,100000
2,1,1,39,160000
2,2,1,45,80000
1,2,1,44,130000
2,3,2,44,340000
1,1,1,36,360000
2,3,1,40,120000
1,1,2,29,120000
2,1,2,48,300000
2,2,2,23,60000
2,2,1,50,210000
2,2,1,29,210000
2,3,1,49,70000
1,2,1,33,200000
2,2,1,51,230000
1,3,1,23,20000
2,1,1,37,210000
2,3,2,26,160000
2,1,1,30,290000
2,3,1,26,80000
1,1,2,43,360000
1,1,2,32,230000
1,3,1,54,360000
2,1,1,30,340000
2,1,2,22,50000
1,2,2,38,80000
2,2,2,24,50000
2,1,2,24,30000
1,1,2,26,210000
2,2,1,42,150000
1,2,2,21,20000
1,3,2,22,20000
2,3,1,41,240000
2,2,1,50,500000
2,2,1,23,90000
1,3,2,46,50000
2,2,2,22,50000
1,1,2,37,680000
1,1,1,47,50000
2,2,1,40,100000
2,1,2,30,280000
1,2,2,54,30000
1,2,2,27,50000
1,1,1,33,60000
1,2,1,57,120000
2,2,1,35,80000
1,1,1,45,500000
2,3,1,32,70000
2,2,1,45,160000
2,3,1,50,100000
1,3,2,35,10000
1,1,2,26,90000
1,1,1,39,170000
2,2,2,35,90000
2,3,2,42,180000
2,1,1,52,350000
1,2,2,35,270000
2,1,2,29,200000
2,1,2,22,20000
1,2,2,30,100000
1,1,1,46,290000
1,3,2,28,70000
1,1,2,26,230000
2,1,2,28,180000
1,1,2,33,210000
1,1,2,24,50000
1,1,2,37,150000
1,2,1,50,380000
1,2,1,44,50000
2,3,1,43,150000
1,2,2,29,220000
2,5,2,27,80000
2,2,1,32,220000
