latitud,longitud,profundidad
-19.6,183.84,309
-34.68,179.82,75
-14.46,167.26,195
-18.85,187.55,44
-17.02,182.41,420
-20.41,186.51,63
-18.18,182.04,609
-16.49,187.8,40
-17.74,181.31,575
-20.49,181.69,559
-18.51,182.64,405
-27.28,183.4,70
-15.9,167.16,41
-20.57,181.33,605
-11.25,166.36,130
-20.04,181.87,577
-20.89,181.25,599
-16.62,186.74,82
-20.09,168.75,50
-24.96,179.87,480
-20.95,181.42,559
-23.31,179.27,566
-20.95,181.06,611
-21.58,181.9,409
-13.62,167.15,209
-12.72,166.28,70
-21.79,185,74
-20.48,169.76,134
-12.84,166.78,150
-17.02,182.93,406
-23.89,182.39,243
-23.07,184.03,89
-27.98,181.96,53
-28.1,182.25,68
-21.24,180.81,605
-21.24,180.86,615
-19.89,174.46,546
-32.82,179.8,176
-22,185.5,52
-21.57,185.62,66
-24.5,180.92,377
-33.03,180.2,186
-30.09,182.4,51
-22.75,170.99,67
-17.99,168.98,234
-19.6,181.87,597
-15.65,186.26,64
-17.78,181.53,511
-22.04,184.91,47
-20.06,168.69,49
-18.07,181.54,546
-12.85,165.67,75
-33.29,181.3,60
-34.63,179.1,278
-24.18,179.02,550
-23.78,180.31,518
-22.37,171.5,116
-23.97,179.91,518
-34.12,181.75,75
-25.25,179.86,491
-22.87,172.65,56
-18.48,182.37,376
-21.46,181.02,584
-28.56,183.47,48
-28.56,183.59,53
-21.3,180.92,617
-20.08,183.22,294
-18.82,182.21,417
-19.51,183.97,280
-12.05,167.39,332
-17.4,186.54,85
-23.93,180.18,525
-21.23,181.09,613
-16.23,167.91,182
-28.15,183.4,57
-20.81,185.01,79
-20.72,181.41,595
-23.29,184,164
-38.46,176.03,148
-15.48,186.73,82
-37.03,177.52,153
-20.48,181.38,556
-18.12,181.88,649
-18.17,181.98,651
-11.4,166.07,93
-23.1,180.12,533
-14.28,170.34,642
-22.87,171.72,47
-17.59,180.98,548
-27.6,182.1,154
-17.94,180.6,627
-17.88,180.58,622
-30.01,180.8,286
-19.19,182.3,390
-18.14,180.87,624
-23.46,180.11,539
-18.44,181.04,624
-18.21,180.87,631
-18.26,180.98,631
-15.85,184.83,299
-23.82,180.09,498
-18.6,184.28,255
-17.8,181.32,539
-10.78,166.1,195
-18.12,181.71,594
-19.34,182.62,573
-15.34,167.1,128
-24.97,182.85,137
-15.97,186.08,143
-23.47,180.24,511
-23.11,179.15,564
-20.54,181.66,559
-18.92,169.37,248
-20.16,184.27,210
-25.48,180.94,390
-18.19,181.74,616
-15.35,186.4,98
-18.69,169.1,218
-18.89,181.24,655
-17.61,183.32,356
-20.93,181.54,564
-17.6,181.5,548
-17.96,181.4,655
-18.8,182.41,385
-20.61,182.44,518
-20.74,181.53,598
-25.23,179.86,476
-23.9,179.9,579
-18.07,181.58,603
-15.43,185.19,249
-14.3,167.32,208
-18.04,181.57,587
-13.9,167.18,221
-17.64,177.01,545
-17.98,181.51,586
-25,180,488
-19.45,184.48,246
-16.11,187.48,61
-23.73,179.98,524
-17.74,186.78,104
-21.56,183.23,271
-20.97,181.72,487
-15.45,186.73,83
-15.93,167.91,183
-21.47,185.86,55
-21.44,170.45,166
-22.16,180.49,586
-13.36,172.76,618
-21.22,181.51,524
-26.1,182.5,133
-18.35,185.27,201
-17.2,182.9,383
-22.42,171.4,86
-17.91,181.48,555
-26.53,178.3,605
-26.5,178.29,609
-16.31,168.08,204
-18.76,169.71,287
-17.1,182.8,390
-19.28,182.78,348
-23.5,180,550
-21.26,181.69,487
-17.97,181.48,578
-26.02,181.2,361
-30.3,180.8,275
-24.89,179.67,498
-14.57,167.24,162
-15.4,186.87,78
-22.06,183.95,134
-25.14,178.42,554
-20.3,181.4,608
-25.28,181.17,367
-20.63,181.61,599
-19.02,186.83,45
-22.1,185.3,50
-38.59,175.7,162
-19.3,183,302
-31.03,181.59,57
-30.51,181.3,203
-22.55,183.34,66
-22.14,180.64,591
-25.6,180.3,440
-18.04,181.84,611
-21.29,185.77,57
-21.08,180.85,627
-20.64,169.66,89
-24.41,180.03,500
-12.16,167.03,264
-17.1,185.9,127
-21.13,185.6,85
-12.34,167.43,50
-16.43,186.73,75
-20.7,184.3,182
-21.18,180.92,619
-17.78,185.33,223
-21.57,183.86,156
-13.7,166.75,46
-12.27,167.41,50
-19.1,184.52,230
-19.85,184.51,184
-11.37,166.55,188
-20.7,186.3,80
-20.24,185.1,86
-16.4,182.73,391
-19.6,184.53,199
-21.63,180.77,592
-21.6,180.5,595
-21.77,181,618
-21.8,183.6,213
-21.05,180.9,616
-10.8,165.8,175
-17.9,181.5,589
-22.26,171.44,83
-22.33,171.46,119
-24.04,184.85,70
-20.4,186.1,74
-15,184.62,40
-27.87,183.4,87
-14.12,166.64,63
-23.61,180.27,537
-21.56,185.5,47
-21.19,181.58,490
-18.07,181.65,593
-26,178.43,644
-20.21,181.9,576
-28,182,199
-20.74,180.7,589
-31.8,180.6,178
-18.91,169.46,248
-20.45,182.1,500
-22.9,183.8,71
-18.11,181.63,568
-23.8,184.7,42
-23.42,180.21,510
-23.2,184.8,97
-12.93,169.52,663
-21.14,181.06,625
-19.13,184.97,210
-21.08,181.3,557
-20.07,181.75,582
-20.9,182.02,402
-25.04,179.84,474
-21.85,180.89,577
-19.34,186.59,56
-15.83,167.1,43
-23.73,183,118
-18.1,181.72,544
-22.12,180.49,532
-15.39,185.1,237
-16.21,186.52,111
-21.75,180.67,595
-22.1,180.4,603
-24.97,179.54,505
-19.36,186.36,100
-22.14,179.62,587
-21.48,182.44,364
-18.54,168.93,100
-21.62,182.4,350
-13.4,166.9,228
-15.5,185.3,93
-15.67,185.23,66
-21.78,183.11,225
-30.63,180.9,334
-15.7,185.1,70
-19.2,184.37,220
-19.7,182.44,397
-19.4,182.29,326
-15.85,185.9,121
-17.38,168.63,209
-24.33,179.97,510
-20.89,185.26,54
-18.97,169.44,242
-17.99,181.62,574
-15.8,185.25,82
-25.42,182.65,102
-21.6,169.9,43
-26.06,180.05,432
-17.56,181.23,580
-25.63,180.26,464
-25.46,179.98,479
-22.23,180.48,581
-21.55,181.39,513
-15.18,185.93,77
-13.79,166.56,68
-15.18,167.23,71
-18.78,186.72,68
-17.9,181.41,586
-18.5,185.4,243
-14.82,171.17,658
-15.65,185.17,315
-30.01,181.15,210
-13.16,167.24,278
-21.03,180.78,638
-21.4,180.78,615
-17.93,181.89,567
-20.87,181.7,560
-12.01,166.66,99
-19.1,169.63,266
-22.85,181.37,397
-17.08,185.96,180
-21.14,174.21,40
-12.23,167.02,242
-20.91,181.57,530
-11.38,167.05,133
-11.02,167.01,62
-22.09,180.58,580
-17.8,181.2,530
-18.94,182.43,566
-18.85,182.2,501
-21.91,181.28,548
-22.03,179.77,587
-18.1,181.63,592
-18.4,184.84,221
-21.2,181.4,560
-12,166.2,94
-11.7,166.3,139
-26.72,182.69,162
-24.39,178.98,562
-19.64,169.5,204
-21.35,170.04,56
-22.82,184.52,49
-38.28,177.1,100
-12.57,167.11,231
-22.24,180.28,601
-13.8,166.53,42
-21.07,183.78,180
-17.74,181.25,559
-23.87,180.15,524
-21.29,185.8,69
-22.2,180.58,594
-15.24,185.11,262
-17.82,181.27,538
-32.14,180,331
-19.3,185.86,48
-33.09,180.94,47
-20.18,181.62,558
-17.46,181.42,524
-17.44,181.33,545
-24.71,179.85,477
-21.53,170.52,129
-19.17,169.53,268
-28.05,182.39,117
-23.39,179.97,541
-22.33,171.51,112
-15.28,185.98,162
-20.27,181.51,609
-10.96,165.97,76
-21.52,169.75,61
-19.57,184.47,202
-23.08,183.45,90
-25.06,182.8,133
-17.85,181.44,589
-15.99,167.95,190
-20.56,184.41,138
-17.98,181.61,598
-18.4,181.77,600
-27.64,182.22,162
-20.99,181.02,626
-14.86,167.32,137
-29.33,182.72,57
-25.81,182.54,201
-14.1,166.01,69
-17.63,185.13,219
-23.47,180.21,553
-23.92,180.21,524
-20.88,185.18,51
-20.25,184.75,107
-19.33,186.16,44
-18.14,181.71,574
-22.41,183.99,128
-20.77,181.16,568
-17.95,181.73,583
-20.83,181.01,622
-27.84,182.1,193
-19.94,182.39,544
-23.6,183.99,118
-23.7,184.13,51
-30.39,182.4,63
-18.98,182.32,442
-27.89,182.92,87
-23.5,184.9,61
-23.73,184.49,60
-17.93,181.62,561
-35.94,178.52,138
-18.68,184.5,174
-23.47,179.95,543
-23.49,180.06,530
-23.85,180.26,497
-27.08,183.44,63
-20.88,184.95,82
-20.97,181.2,605
-21.71,183.58,234
-23.9,184.6,41
-15.78,167.44,40
-12.57,166.72,137
-19.69,184.23,223
-22.04,183.95,109
-17.99,181.59,595
-23.5,180.13,512
-21.4,180.74,613
-15.86,166.98,60
-23.95,184.64,43
-25.79,182.38,172
-23.75,184.5,54
-24.1,184.5,68
-18.56,169.05,217
-23.3,184.68,102
-17.03,185.74,178
-20.77,183.71,251
-28.1,183.5,42
-18.83,182.26,575
-23,170.7,43
-20.82,181.67,577
-22.95,170.56,42
-28.22,183.6,75
-27.99,183.5,71
-15.54,187.15,60
-12.37,166.93,291
-22.33,171.66,125
-22.7,170.3,69
-17.86,181.3,614
-16,184.53,108
-20.73,181.42,575
-15.45,181.42,409
-20.05,183.86,243
-17.95,181.37,642
-17.7,188.1,45
-25.93,179.54,470
-12.28,167.06,248
-20.13,184.2,244
-17.4,187.8,40
-21.59,170.56,165
